Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-30T10:19:35.385Z","Included","auto","No","3084","0","75805","1565","80454","Included"
"2026-01-30T10:18:05.333Z","Included","auto","No","8155","0","71723","1942","81820","Included"
"2026-01-30T09:59:04.273Z","Included","auto","No","49029","0","466892","1393","517314","Included"
"2026-01-30T09:49:34.507Z","Included","auto","No","13035","0","280337","7385","300757","Included"
"2026-01-30T09:42:34.275Z","Included","auto","No","7290","0","226132","5389","238811","Included"
"2026-01-30T09:40:39.151Z","Included","auto","No","24598","0","134866","4384","163848","Included"
"2026-01-30T09:29:01.639Z","Included","auto","No","18384","0","81052","4504","103940","Included"
"2026-01-30T06:35:23.091Z","Included","auto","No","4178","0","21963","1069","27210","Included"
"2026-01-30T01:57:47.496Z","Included","auto","No","2857","0","75612","1135","79604","Included"
"2026-01-30T01:54:08.014Z","Included","auto","No","8926","185056","213293","5187","412462","Included"
"2026-01-30T01:51:49.317Z","Included","auto","No","11106","19391","1207747","6707","1244951","Included"
"2026-01-30T01:48:56.372Z","Included","auto","No","1028","0","332107","558","333693","Included"
"2026-01-30T01:47:27.912Z","Included","auto","No","5196","0","651544","2856","659596","Included"
"2026-01-30T01:46:26.330Z","Included","auto","No","2775","0","635870","1608","640253","Included"
"2026-01-30T01:44:40.520Z","Included","auto","No","2637","0","625229","1652","629518","Included"
"2026-01-30T01:41:11.067Z","Included","auto","No","2921","0","459317","1586","463824","Included"
"2026-01-30T01:35:55.027Z","Included","auto","No","4833","5060","598161","3822","611876","Included"
"2026-01-30T01:33:09.052Z","Included","auto","No","6855","6395","577310","5134","595694","Included"
"2026-01-30T01:28:19.053Z","Included","auto","No","131110","46517","285215","4612","467454","Included"
"2026-01-30T01:09:05.253Z","Included","auto","No","1593","0","268060","515","270168","Included"
"2026-01-30T01:07:57.678Z","Included","auto","No","124091","3803","673645","1862","803401","Included"
"2026-01-30T00:24:10.924Z","Included","auto","No","8164","0","222167","2634","232965","Included"
"2026-01-29T05:23:16.119Z","Included","auto","No","25549","7412","325303","9813","368077","Included"
"2026-01-29T05:17:46.771Z","Included","auto","No","48519","0","182032","509","231060","Included"
"2026-01-29T05:10:32.212Z","Included","auto","No","2977","0","309684","1388","314049","Included"
"2026-01-29T05:06:03.701Z","Included","auto","No","6012","0","697989","2856","706857","Included"
"2026-01-29T05:02:46.554Z","Included","auto","No","1414","0","190630","867","192911","Included"
"2026-01-29T05:01:38.213Z","Included","auto","No","1924","0","187139","864","189927","Included"
"2026-01-29T04:58:37.272Z","Included","auto","No","3559","0","271339","2513","277411","Included"
"2026-01-29T04:56:54.348Z","Included","auto","No","2767","0","262340","1610","266717","Included"
"2026-01-29T04:55:12.299Z","Included","auto","No","5665","9116","593779","6914","615474","Included"
"2026-01-29T04:52:04.517Z","Included","auto","No","2642","0","318171","1403","322216","Included"
"2026-01-29T04:46:02.178Z","Included","auto","No","68875","10432","457024","11972","548303","Included"
"2026-01-29T04:40:31.214Z","Included","claude-4.5-opus-high-thinking","No","98382","44","475887","5237","579550","Included"
"2026-01-29T04:06:42.802Z","Included","claude-4.5-opus-high-thinking","No","88113","16","83679","4293","176101","Included"
"2026-01-29T03:44:15.561Z","Included","claude-4.5-opus-high-thinking","No","6661","16","154972","4882","166531","Included"
"2026-01-29T03:42:01.895Z","Included","claude-4.5-opus-high-thinking","No","5355","16","144163","3514","153048","Included"
"2026-01-29T03:35:38.375Z","Included","claude-4.5-opus-high-thinking","No","8555","6689","594678","6473","616395","Included"
"2026-01-29T03:30:21.078Z","Included","claude-4.5-opus-high-thinking","No","21603","72","520204","13467","555346","Included"
"2026-01-29T03:25:31.170Z","Included","claude-4.5-opus-high-thinking","No","40823","93","325309","19105","385330","Included"
"2026-01-28T08:34:32.680Z","Included","claude-4.5-opus-high-thinking","No","11488","42","359125","4342","374997","Included"
"2026-01-28T08:31:59.297Z","Included","claude-4.5-opus-high-thinking","No","66492","36600","126380","9834","239306","Included"
"2026-01-28T08:22:46.208Z","Included","claude-4.5-opus-high-thinking","No","177041","143022","1889274","31073","2240410","Included"
"2026-01-28T08:04:48.977Z","Included","claude-4.5-sonnet-thinking","No","160660","10","0","1008","161678","Included"
"2026-01-28T07:52:54.696Z","Included","auto","No","124172","0","930612","7348","1062132","Included"
"2026-01-28T07:48:14.396Z","Included","auto","No","18691","0","89733","2030","110454","Included"
"2026-01-28T07:37:53.681Z","Included","auto","No","14481","0","31371","1212","47064","Included"
"2026-01-28T07:23:22.472Z","Included","auto","No","182652","0","660741","9671","853064","Included"
"2026-01-28T07:20:16.163Z","Included","auto","No","5035","0","687360","2131","694526","Included"
"2026-01-28T07:13:56.200Z","Included","auto","No","7150","8286","502494","7785","525715","Included"
"2026-01-28T07:11:27.275Z","Included","auto","No","4537","0","482304","2389","489230","Included"
"2026-01-28T07:08:29.084Z","Included","auto","No","7575","0","462848","3472","473895","Included"
"2026-01-28T07:03:12.251Z","Included","auto","No","3688","0","450304","1888","455880","Included"
"2026-01-28T07:00:57.465Z","Included","auto","No","3905","0","439296","2235","445436","Included"
"2026-01-28T06:57:42.146Z","Included","auto","No","6371","0","709888","3926","720185","Included"
"2026-01-28T06:54:48.196Z","Included","auto","No","13058","2899","1108669","8805","1133431","Included"
"2026-01-28T06:51:38.770Z","Included","auto","No","5852","0","500224","1907","507983","Included"
"2026-01-28T06:48:43.845Z","Included","auto","No","2480","0","242944","311","245735","Included"
"2026-01-28T06:47:16.384Z","Included","auto","No","10080","0","349184","1597","360861","Included"
"2026-01-28T06:41:22.514Z","Included","auto","No","5853","0","431360","2366","439579","Included"
"2026-01-28T06:39:02.691Z","Included","auto","No","11379","0","404992","1836","418207","Included"
"2026-01-28T06:34:47.730Z","Included","auto","No","2689","0","374784","934","378407","Included"
"2026-01-28T06:33:07.448Z","Included","auto","No","4590","0","270336","507","275433","Included"
"2026-01-28T06:23:56.550Z","Included","auto","No","81299","0","178688","1861","261848","Included"
"2026-01-28T06:15:50.661Z","Included","auto","No","1310","0","249600","649","251559","Included"
"2026-01-28T06:05:30.676Z","Included","auto","No","1164","0","165632","722","167518","Included"
"2026-01-28T05:44:56.685Z","Included","auto","No","1791","0","245248","587","247626","Included"
"2026-01-28T05:42:41.701Z","Included","auto","No","1528","0","240896","878","243302","Included"
"2026-01-28T05:40:30.195Z","Included","auto","No","5394","0","488960","3527","497881","Included"
"2026-01-28T05:37:24.284Z","Included","auto","No","3720","0","321792","1409","326921","Included"
"2026-01-28T05:34:34.140Z","Included","auto","No","2146","0","233472","1459","237077","Included"
"2026-01-28T05:33:16.913Z","Included","auto","No","2788","0","232704","1312","236804","Included"
"2026-01-28T05:32:15.014Z","Included","auto","No","2388","0","226816","930","230134","Included"
"2026-01-28T05:31:17.795Z","Included","auto","No","2753","0","219648","1402","223803","Included"
"2026-01-28T05:29:58.103Z","Included","auto","No","2305","0","214016","765","217086","Included"
"2026-01-28T05:28:18.500Z","Included","auto","No","2613","0","205568","1943","210124","Included"
"2026-01-28T05:22:25.963Z","Included","auto","No","65212","0","286208","2844","354264","Included"
"2026-01-28T05:17:06.633Z","Included","auto","No","4124","0","194816","1495","200435","Included"
"2026-01-28T05:15:29.991Z","Included","auto","No","2125","0","188416","597","191138","Included"
"2026-01-28T05:09:28.493Z","Included","auto","No","6211","0","175104","1298","182613","Included"
"2026-01-28T05:03:45.450Z","Included","auto","No","1535","0","110848","1065","113448","Included"
"2026-01-28T05:01:28.636Z","Included","auto","No","8384","0","147968","2202","158554","Included"
